,,,,change in umol oxygen per ug Chl/L per hour,,,,,,,
  run,date ,temp,umol/L/h,Ch1,Ch2,Ch3,Ch4,,,,
1,1506,20,0,-0.072742412,-0.103460616,-0.065276182,-0.114197766,,,,
1,1506,20,72,-0.031287059,-0.050272615,-0.023394187,-0.079853107,,,,
1,1506,20,120,-0.006470733,-0.008532834,-0.005688556,-0.034273551,,,Pmin-max,pmax
1,1506,20,180,0.00490638,0.037544471,0.07629776,0.008035086,,,-0.114197766,0.40788062
1,1506,20,300,0.085612771,0.095069995,0.132614466,0.076937722,,,0.293682855,
1,1506,20,440,0.143991578,0.166674696,0.15679083,0.141645049,,,,
1,1506,20,520,0.200166071,0.245887841,0.275183905,0.21652067,,,,
2,2306,20,0,-0.072649382,-0.078308219,-0.076152815,-0.06812952,,,,
2,2306,20,72,-0.013062183,-0.015614066,-0.02951246,-0.028820424,,,,
2,2306,20,120,0.002523049,0.022145158,0.015109457,0.034385548,,,,
2,2306,20,180,0.067603285,0.049668014,0.058289631,0.065325332,,,,
2,2306,20,300,0.10468489,0.115151937,0.139834561,0.129425184,,,,
2,2306,20,440,0.145500607,0.155145862,0.217573292,0.177449611,,,,
2,2306,20,520,0.19087223,0.201829469,0.293682855,0.239877042,,,,
3,2306,20,0,-0.058606814,-0.084428414,-0.067163553,-0.073925323,,,,
3,2306,20,72,-0.01989604,-0.008636035,-0.009255984,-0.01453276,,,,
3,2306,20,120,0.02179914,0.017819932,0.03213643,0.025504417,,,,
3,2306,20,180,0.038033155,0.065209993,0.06975148,0.061547968,,,,
3,2306,20,300,0.116045817,0.128300625,0.144678814,0.107626044,,,,
3,2306,20,440,0.154309651,0.180664696,0.210494339,0.178141647,,,,
3,2306,20,520,0.198614384,0.235854581,0.254741402,0.210249243,,,,
4,2906,20,0,-0.039385063,-0.078754366,-0.046816058,-0.063821454,,,,
4,2906,20,72,0.013538123,0.006319892,0.018061337,0.006020446,,,,
4,2906,20,120,0.046587534,0.053742723,0.045058782,0.045058782,,,,
4,2906,20,180,0.05886483,0.078628283,0.08280477,0.069109044,,,,
4,2906,20,300,0.115365611,0.146334658,0.135318188,0.132481328,,,,
4,2906,20,440,0.175034218,0.196736191,0.213820388,0.178785176,,,,
4,2906,20,520,0.17465597,0.241858014,0.234702825,0.227815561,,,,
5,2906,20,0,-0.076216953,-0.070929362,-0.067296606,-0.096153769,,,,
5,2906,20,72,-0.024507312,-0.019337924,-0.010118131,-0.047454352,,,,
5,2906,20,120,0.002679256,0.012245776,0.021733494,0.011111032,,,,
5,2906,20,180,0.024018742,0.039290501,0.040961096,0.050527616,,,,
5,2906,20,300,0.089565952,0.093994604,0.088399687,0.104254579,,,,
5,2906,20,440,0.115286809,0.144065171,0.141464716,0.141102229,,,,
5,2906,20,520,0.141307113,0.183339911,0.189533721,0.129959676,,,,
6,607,20,0,-0.065504092,-0.075179569,-0.064547665,-0.077344503,,,,
6,607,20,72,-0.005916499,-0.008585596,0.004359525,-0.015525248,,,,
6,607,20,120,0.025173916,0.023913546,0.037521456,0.030950195,,,,
6,607,20,180,0.033067148,0.063687623,0.070567962,0.056228979,,,,
6,607,20,300,0.094776919,0.121056196,0.112501944,0.102879848,,,,
6,607,20,440,0.117128879,0.171830541,0.20577256,0.170911185,,,,
6,607,20,520,0.181646887,0.209716892,0.248270517,0.190321453,,,,
7,607,20,0,-0.089473782,-0.108615152,-0.095409363,-0.095128732,,,,
7,607,20,72,-0.052062222,-0.061181637,-0.02608301,-0.050890785,,,,
7,607,20,120,-0.013097246,-0.008850258,0.012127733,-0.020427125,,,,
7,607,20,180,0.007888665,0.032666783,0.025934727,0.006583773,,,,
7,607,20,300,0.062931379,0.090778959,0.110174398,0.067172277,,,,
7,607,20,440,0.119812804,0.140794873,0.161539689,0.136450176,,,,
7,607,20,520,0.124409582,0.178221546,0.192797782,0.159004047,,,,
8,607,20,0,-0.086234079,-0.086916182,-0.110567348,-0.053722994,,,,
8,607,20,72,-0.077092422,-0.063331743,-0.040659246,-0.031169123,,,,
8,607,20,120,-0.026732583,-0.008931641,0.004182721,-0.001597097,,,,
8,607,20,180,0.009490123,0.026290607,0.019795804,0.027743782,,,,
8,607,20,300,0.065339012,0.101467453,0.108167989,0.076324219,,,,
8,607,20,440,0.129643978,0.135041486,0.151085725,0.13121578,,,,
8,607,20,520,0.118759993,0.230521021,0.203192432,0.19263467,,,,
9,1307,20,0,-0.038507341,-0.058889594,-0.051108142,-0.045461844,,,,
9,1307,20,72,-0.009923385,-0.024035739,0.003673821,0.002345281,,,,
9,1307,20,120,0.007930574,0.009055766,0.014058128,0.018328437,,,,
9,1307,20,180,0.029865049,0.03710424,0.047407207,0.047651225,,,,
9,1307,20,300,0.067674229,0.077204474,0.075550577,0.089269791,,,,
9,1307,20,440,0.12653671,0.127078971,0.155723932,0.129966513,,,,
9,1307,20,520,0.127458554,0.167829919,0.185914339,0.176058737,,,,
10,1307,20,0,-0.052490909,-0.066562593,-0.071571733,-0.057154357,,,,
