"WL","Baseline","1003-1","1003-2","1003-3","0104-1","0104-2","0104-3","2004-1","2004-2","2004-3","0405-1","0405-2","0405-3","1105-1","1105-2","1105-3","1805-1","1805-2","1805-3"
"3,500000000000000e+2","-5,213878140994500e-2","1,788237668082180e-1","1,529290205877180e-1","1,657387321866920e-1","9,274080852784550e-2","1,369746367872540e-1","8,181225864320890e-2","8,234167244166570e-2","9,937054635940299e-2","8,304108931085320e-2","5,532401990221830e-2","7,686960456479650e-2","6,400049336251580e-2","6,034658145302700e-2","5,030987984632580e-2","6,827151979263220e-2","5,443324054472940e-2","5,215480340053190e-2","4,057164607468120e-2"
"3,510000000000000e+2","-5,156832513084350e-2","1,801232445361920e-1","1,542029887058470e-1","1,667995149751160e-1","9,389923425369760e-2","1,379380479979580e-1","8,330930839369430e-2","8,237897524003459e-2","9,939042993993021e-2","8,319292445410360e-2","5,574014181205020e-2","7,714668151582579e-2","6,487221958610010e-2","6,051417872499690e-2","5,102120747150440e-2","6,804122670833810e-2","5,519057892441580e-2","5,251864258754450e-2","4,116457848417720e-2"
"3,520000000000000e+2","-5,119194320388500e-2","1,824088909404240e-1","1,563682939852580e-1","1,691216410701070e-1","9,516296773655290e-2","1,398995287318060e-1","8,469494421107739e-2","8,214156331325430e-2","9,974471196612541e-2","8,366896784107250e-2","5,606886602065680e-2","7,728968735536710e-2","6,562787884296610e-2","6,154413666946240e-2","5,183456722304760e-2","6,840403362189890e-2","5,571591967985010e-2","5,280642453801200e-2","4,207408248656180e-2"
"3,530000000000000e+2","-5,141071912846710e-2","1,845676348365180e-1","1,588615467663700e-1","1,718342193800030e-1","9,669008897061939e-2","1,415340541965440e-1","8,640919216807390e-2","8,344979296936029e-2","1,010852239267070e-1","8,471408940576000e-2","5,761497604228610e-2","7,834338119737520e-2","6,686688080308220e-2","6,260821764077530e-2","5,330558046531440e-2","6,921539675744801e-2","5,723740144760900e-2","5,409153964193110e-2","4,292642216428450e-2"
"3,540000000000000e+2","-5,084016420259950e-2","1,868075404752410e-1","1,612941395039640e-1","1,734251936480620e-1","9,768093213009341e-2","1,415324036048650e-1","8,765040797108750e-2","8,404446791534570e-2","1,026911414376080e-1","8,507176399178549e-2","5,859483485662690e-2","7,922074958025330e-2","6,741435799319099e-2","6,328378808427359e-2","5,406189781705360e-2","6,985343395717790e-2","5,733108428845080e-2","5,417853872080760e-2","4,385698940460040e-2"
"3,550000000000000e+2","-5,022530509657820e-2","1,887528200914550e-1","1,625725963900140e-1","1,754303554281850e-1","9,828778447748781e-2","1,420669957840680e-1","8,881193894021410e-2","8,412388734884010e-2","1,026852641555880e-1","8,584522877864579e-2","5,951034503279820e-2","7,951000513617779e-2","6,773002337354890e-2","6,368049327150679e-2","5,447897264738430e-2","7,040039951560150e-2","5,817137454412870e-2","5,420510079927970e-2","4,398595339866700e-2"
"3,560000000000000e+2","-5,013084499649680e-2","1,910452902721860e-1","1,652509879430630e-1","1,776857234017590e-1","9,973025673140851e-2","1,433585878324370e-1","9,041295516901741e-2","8,478503160356600e-2","1,040892440664750e-1","8,687806565886160e-2","6,019488147863670e-2","8,070046418331310e-2","6,879859203117961e-2","6,437533172240401e-2","5,580179139443060e-2","7,116002112301760e-2","5,943570765948630e-2","5,519505977683270e-2","4,494668310758650e-2"
"3,570000000000000e+2","-4,973799638886790e-2","1,937971831363720e-1","1,676043510724650e-1","1,798651209113170e-1","1,011250477802630e-1","1,437887671546280e-1","9,163380900184330e-2","8,605428003064930e-2","1,047520664985330e-1","8,808572163745990e-2","6,096784974727200e-2","8,081099206692061e-2","7,019787598168610e-2","6,507901007681850e-2","5,644161236880980e-2","7,189488812434181e-2","6,024620591355380e-2","5,565647015251620e-2","4,586251846563410e-2"
"3,580000000000000e+2","-4,932269039880700e-2","1,963836633893050e-1","1,708824406784170e-1","1,820030408975510e-1","1,026717501099280e-1","1,444904839582570e-1","9,316805371609680e-2","8,639384191936541e-2","1,055711594903760e-1","8,878894780490699e-2","6,142385625798700e-2","8,147018958392520e-2","7,149515638640661e-2","6,545940442815421e-2","5,756669699957110e-2","7,301961289372880e-2","6,118648360593090e-2","5,587945252875630e-2","4,682129156163650e-2"
"3,590000000000000e+2","-4,911225055289670e-2","1,993542837242090e-1","1,732482136622840e-1","1,850308007462440e-1","1,040291808078780e-1","1,457703225057060e-1","9,453049165765579e-2","8,729306314942650e-2","1,068143851237320e-1","8,990109176199939e-2","6,279820814166070e-2","8,228015136563110e-2","7,183818390961680e-2","6,650572041077039e-2","5,853963746700450e-2","7,361195697079099e-2","6,203784770827220e-2","5,671016174286640e-2","4,723652715788580e-2"
"3,600000000000000e+2","-4,888902552409580e-2","2,021408272933920e-1","1,760691635158070e-1","1,880796397484150e-1","1,056524281741870e-1","1,476139676890190e-1","9,641265656433861e-2","8,815282354773019e-2","1,079878254298360e-1","9,092590923355880e-2","6,360798814182600e-2","8,304960785435040e-2","7,309712559462210e-2","6,723108086190860e-2","5,935990216417760e-2","7,422944161680970e-2","6,250962495137030e-2","5,744724604855710e-2","4,815609864712690e-2"
"3,610000000000000e+2","-4,870452703479090e-2","2,054186223104780e-1","1,790170828540420e-1","1,907457229507100e-1","1,070596972444630e-1","1,491997487854360e-1","9,768085343491640e-2","8,944952388955590e-2","1,086315570647370e-1","9,209156965129310e-2","6,464914095274270e-2","8,388375985092560e-2","7,388442393943600e-2","6,819688708449061e-2","6,048873046813270e-2","7,492386871138269e-2","6,292761638750180e-2","5,861895082858220e-2","4,911104388003900e-2"
"3,620000000000000e+2","-4,824575220123510e-2","2,079142126581790e-1","1,812585438506410e-1","1,938599727815870e-1","1,083102509443870e-1","1,494881187422380e-1","9,895099109592320e-2","9,033148275562181e-2","1,091332741086950e-1","9,259952822200899e-2","6,527539998092990e-2","8,444864180899370e-2","7,490852622205390e-2","6,806809283172370e-2","6,145134297685480e-2","7,501940635991770e-2","6,396492563430101e-2","5,865095169471930e-2","4,952526417515170e-2"
"3,630000000000000e+2","-4,800494193861220e-2","2,114938968921600e-1","1,847759702180320e-1","1,977748425094340e-1","1,098746241413530e-1","1,514374862375950e-1","1,007564520502060e-1","9,168439494515709e-2","1,102769267587880e-1","9,352109922507739e-2","6,622192986773330e-2","8,532447864171490e-2","7,569213809104290e-2","6,884206391602179e-2","6,223412123192250e-2","7,577311702649830e-2","6,435718947004690e-2","5,882828139470160e-2","5,046001130860380e-2"
"3,640000000000000e+2","-4,763496390417440e-2","2,149498181009330e-1","1,876412527418160e-1","2,011371857810920e-1","1,121207652231550e-1","1,515814054287130e-1","1,022361895425660e-1","9,341244289147610e-2","1,109284053897320e-1","9,492722715911061e-2","6,743956971935840e-2","8,637844373254240e-2","7,720916962537099e-2","7,027635018585460e-2","6,382186103854939e-2","7,649414220330280e-2","6,534083228974330e-2","6,006798950891180e-2","5,104063978390630e-2"
