"WL","Baseline","1008-1","1008-2","1008-3","1708-1","1708-2","1708-3","2408-1","2408-2","2408-3","3108-1","3108-2","3108-3","0709-1","0709-2","0709-3","1409-1","1409-2","1409-3","2109-1","2109-2","2109-3","2809-1","2809-2","2809-3","0610-1","0610-2","0610-3","1210-1","1210-2","1210-3","1910-1","1910-2","1910-3","2610-1","2610-2","2610-3","0411-1","0411-2","0411-3","0911-1","0911-2","0911-3","1611-1","1611-2","1611-3","x column","y column","x column 1","y column 1"
"3,500000000000000e+2","-5,392895783021370e-2","1,090364866511040e-1","1,119494866067450e-1","1,068555281904600e-1","9,613765088572560e-2","9,871695217774181e-2","9,864572052057570e-2","7,682599949517379e-2","8,350327899799510e-2","8,128813152617221e-2","8,646497675903390e-2","8,618397185512440e-2","8,903860168677290e-2","7,041563959651021e-2","6,320624633021341e-2","7,872041989763050e-2","5,205852254962380e-2","5,471972666417670e-2","4,693896463932550e-2","5,834014408321160e-2","5,658111087859160e-2","5,609415891615110e-2","4,751086662511180e-2","5,448978797922200e-2","6,553789405909550e-2","6,034252895180970e-2","4,951896335382270e-2","3,886143139345810e-2","6,096881365706190e-2","6,225340632032880e-2","6,910125266973970e-2","4,180022242547470e-2","5,862876138519120e-2","4,126493251056660e-2","2,189011282034460e-2","4,315257704364120e-2","2,439952043020010e-2","6,384487351345600e-2","3,555176490288430e-2","4,107917160574070e-2","3,163386050201400e-2","3,091046474156310e-2","3,428899436647820e-2","4,895416151737810e-2","5,033699246827400e-2","5,035269402783570e-2","3,500000000000000e+2","8,063458233075178e-2","3,500000000000000e+2","8,808399141926990e-2"
"3,510000000000000e+2","-5,406423170382420e-2","1,106798971397890e-1","1,136132481279660e-1","1,084391504919730e-1","9,762787757125339e-2","1,003754900837210e-1","1,002154393568300e-1","7,890713411172461e-2","8,528951639816430e-2","8,253183926165230e-2","8,842292168800170e-2","8,791218655149240e-2","9,098092722282400e-2","7,224903845131650e-2","6,407304576352341e-2","8,031336246372770e-2","5,327042810745960e-2","5,692829620183290e-2","4,837679329264300e-2","5,975599558323480e-2","5,819771334637120e-2","5,756731187824260e-2","4,895642358446410e-2","5,644364723014350e-2","6,691333933657941e-2","6,209256792591390e-2","5,147609641464540e-2","4,056613622905810e-2","6,246443794988410e-2","6,447343665679341e-2","7,014580727159660e-2","4,353025851291640e-2","5,992381642178260e-2","4,244079367081690e-2","2,275052391285950e-2","4,471211392620650e-2","2,564566241801610e-2","6,585120210605750e-2","3,715034526353260e-2","4,303754706017320e-2","3,258603125613160e-2","3,227944600959080e-2","3,577793869973840e-2","5,149882829057500e-2","5,202709623920130e-2","5,304704357948800e-2","3,515625000000000e+2","8,180429096866690e-2","3,515625000000000e+2","8,909107652469725e-2"
"3,520000000000000e+2","-5,384818154033390e-2","1,128974806060720e-1","1,151073455418280e-1","1,099428999206780e-1","9,923421901745770e-2","1,025123054912530e-1","1,019116302929450e-1","8,011918087593800e-2","8,660551084654059e-2","8,463960088613701e-2","8,982281977428640e-2","8,939291289952291e-2","9,282701391929310e-2","7,388033726301741e-2","6,589068776289450e-2","8,178480697010000e-2","5,488220998158220e-2","5,789888676140630e-2","5,005829182741040e-2","6,092768076121750e-2","5,894166820316280e-2","5,836349613859690e-2","4,994548765230170e-2","5,843249278674160e-2","6,803724799677960e-2","6,292717492409699e-2","5,212677569150190e-2","4,123924589691040e-2","6,345944781189421e-2","6,559851588266580e-2","7,184523562114881e-2","4,452843718096670e-2","6,104933442642100e-2","4,434604926515430e-2","2,395792990342230e-2","4,593243299558940e-2","2,679550184885790e-2","6,747278785912350e-2","3,872112553130470e-2","4,482010831382580e-2","3,434875610550190e-2","3,376552395424910e-2","3,725795702298410e-2","5,363544318431030e-2","5,387078263342180e-2","5,454495312292950e-2","3,531250000000000e+2","8,323230089659485e-2","3,531250000000000e+2","9,039179793550576e-2"
"3,530000000000000e+2","-5,321065305649080e-2","1,142114901957940e-1","1,162096819186260e-1","1,115483145805950e-1","1,003036526865800e-1","1,041458178879920e-1","1,034115203660780e-1","8,157861162300501e-2","8,790272235921109e-2","8,608899734521800e-2","9,083742160116870e-2","9,025891112869490e-2","9,415334210729299e-2","7,494801078070221e-2","6,761980629123440e-2","8,276280310147501e-2","5,556830000799270e-2","5,900371557649860e-2","5,054668019336280e-2","6,129235518993050e-2","5,976327632699870e-2","5,941640020962200e-2","5,078324211213170e-2","5,938894130542880e-2","6,896531085836790e-2","6,367315256959410e-2","5,270532216165580e-2","4,234599602467460e-2","6,444458574254540e-2","6,627464908125021e-2","7,296561744123781e-2","4,507515750276120e-2","6,259303336643370e-2","4,517906734482870e-2","2,458694818674960e-2","4,654847308531910e-2","2,756790804925650e-2","6,845951651362420e-2","3,996358364305690e-2","4,550977474626840e-2","3,603220229540830e-2","3,455904798773180e-2","3,841764079777760e-2","5,480477195213210e-2","5,522465067835910e-2","5,578225094124630e-2","3,546875000000000e+2","8,487257844196634e-2","3,546875000000000e+2","9,193596976257802e-2"
"3,540000000000000e+2","-5,323483296115520e-2","1,163412169855980e-1","1,181140973102580e-1","1,135271758883640e-1","1,027938166393310e-1","1,057530509380900e-1","1,056370253960050e-1","8,355519074159549e-2","8,956696820499090e-2","8,756973566857790e-2","9,281494372679421e-2","9,250991978497910e-2","9,664320020402000e-2","7,657355690717400e-2","7,003552636839450e-2","8,529589341960850e-2","5,687715209406640e-2","6,082076882152660e-2","5,243160557367740e-2","6,269982184516650e-2","6,122553700242780e-2","6,086831440748380e-2","5,223026698666250e-2","6,122297252950090e-2","7,079530604274641e-2","6,504233609253970e-2","5,380598214636950e-2","4,357610182557140e-2","6,588556712447380e-2","6,824094099836610e-2","7,441362841022810e-2","4,719822639423290e-2","6,366529621040270e-2","4,675527498521310e-2","2,570915760228890e-2","4,779575570367900e-2","2,883034051672810e-2","7,031891703920290e-2","4,200981818647920e-2","4,759268296254480e-2","3,738519104559300e-2","3,631864929559960e-2","3,978535743900700e-2","5,653356480572100e-2","5,742815615034280e-2","5,785311007561800e-2","3,562500000000000e+2","8,668529212019523e-2","3,562500000000000e+2","9,368040748741208e-2"
"3,550000000000000e+2","-5,227118539298560e-2","1,176553627132820e-1","1,191896615280690e-1","1,144171492598490e-1","1,036770736858000e-1","1,067720417187150e-1","1,062186881455390e-1","8,388764062006160e-2","9,112958762703539e-2","8,817672911416280e-2","9,414089245390019e-2","9,380866558595299e-2","9,732650620627430e-2","7,725710199791490e-2","7,211608482079360e-2","8,551718999819579e-2","5,751688863392950e-2","6,183736613893800e-2","5,293156740180800e-2","6,343710041427100e-2","6,243311779559300e-2","6,142812126967600e-2","5,308402167139250e-2","6,188881943354350e-2","7,122669864491590e-2","6,587963318669959e-2","5,456947227626750e-2","4,365854329234960e-2","6,663968382957840e-2","6,874028290939710e-2","7,517238224465720e-2","4,779746634728790e-2","6,452475554904420e-2","4,780697414869830e-2","2,568547594490490e-2","4,789981775927100e-2","2,887037695119570e-2","7,088059360751930e-2","4,250415089959170e-2","4,838038711579120e-2","3,758515352120060e-2","3,701914368884180e-2","4,019529073230380e-2","5,715383609077180e-2","5,838842177605200e-2","5,882490418795510e-2","3,578125000000000e+2","8,863856072746062e-2","3,578125000000000e+2","9,559062053436034e-2"
"3,560000000000000e+2","-5,212818831497980e-2","1,200693116884980e-1","1,208214443136270e-1","1,164074059948600e-1","1,054541762831990e-1","1,086344586188300e-1","1,086111396647020e-1","8,567122077755390e-2","9,238593736448141e-2","8,998380081602781e-2","9,619166032120451e-2","9,571316394608800e-2","9,946704432315010e-2","7,885475942669171e-2","7,461767318878090e-2","8,725791441126821e-2","5,874996181436330e-2","6,317531620199390e-2","5,456413697450920e-2","6,448102718919641e-2","6,393812305054861e-2","6,248115170019300e-2","5,431588473974270e-2","6,354558373373361e-2","7,351932787970469e-2","6,685364829095700e-2","5,590427959808750e-2","4,436977211357030e-2","6,746319077446430e-2","6,992250340240499e-2","7,682868648001299e-2","4,938303628574640e-2","6,645715920921370e-2","4,925074943163490e-2","2,688617847699990e-2","3,868317396869340e-2","2,989827009488620e-2","7,234233279912250e-2","4,394953377419680e-2","4,969540358519690e-2","3,925564175309800e-2","3,822125809422570e-2","4,179842798339380e-2","5,930988393373320e-2","5,993820851616950e-2","6,012701550598540e-2","3,593750000000000e+2","9,070893230173341e-2","3,593750000000000e+2","9,764116283403366e-2"
"3,570000000000000e+2","-5,164798560348340e-2","1,215523452290400e-1","1,220678018969720e-1","1,178874130393900e-1","1,070471527990540e-1","1,106481062112630e-1","1,100336047818020e-1","8,714651036799190e-2","9,394494101683371e-2","9,135995473877080e-2","9,746441425267810e-2","9,712158434140880e-2","1,010878086490480e-1","7,958774206405370e-2","7,632294377786781e-2","8,866342614158749e-2","5,948326937736590e-2","6,402313854775400e-2","5,576753466036520e-2","6,554636204309810e-2","6,441251993197940e-2","6,383532339242100e-2","5,520502337279690e-2","6,467861096787450e-2","7,407067671633739e-2","6,807247366590120e-2","5,743783572830320e-2","4,575171085011960e-2","6,935011304239790e-2","7,132771264639990e-2","7,759884325581050e-2","5,041234990293870e-2","6,698257595914160e-2","5,037714923555910e-2","2,767473785784810e-2","3,904405273219290e-2","3,111580884330040e-2","7,394688103389491e-2","4,545945806908440e-2","5,085126886100050e-2","4,014485504779870e-2","3,869776835687070e-2","4,266648223771240e-2","6,045512842588060e-2","6,156023723361590e-2","6,164655143590460e-2","3,609375000000000e+2","9,288063561190949e-2","3,609375000000000e+2","9,981462726092965e-2"
"3,580000000000000e+2","-5,101456329629330e-2","1,233204424066330e-1","1,238126376100580e-1","1,193347762981350e-1","1,081818835201400e-1","1,118696517715520e-1","1,116404615673040e-1","8,824397878897720e-2","9,532115608707950e-2","9,263134390317811e-2","9,893021022562490e-2","9,827612427445510e-2","1,027562926552660e-1","8,093222564337970e-2","7,771899809923261e-2","8,972470626309360e-2","6,055261635902370e-2","6,482425746648640e-2","5,677416653209190e-2","6,587998820366470e-2","6,519775650262620e-2","6,477128164504630e-2","5,589205362259250e-2","6,573207530006050e-2","7,515388662776200e-2","6,851499244253760e-2","5,827767994015890e-2","4,637285855467910e-2","6,937793544147100e-2","7,177487251763280e-2","7,844567200382550e-2","5,156525296715770e-2","6,807038584640030e-2","5,135006094524460e-2","2,841474507220430e-2","3,972926945537300e-2","3,175478751571050e-2","7,492811656858330e-2","4,613475652970410e-2","5,226536268715560e-2","4,088677005381640e-2","3,999741354331970e-2","4,360746518106090e-2","6,161782062099660e-2","6,223133884110640e-2","6,238332497785900e-2","3,625000000000000e+2","9,514367785159184e-2","3,625000000000000e+2","1,020993247113276e-1"
"3,590000000000000e+2","-5,106377951925690e-2","1,253021113458370e-1","1,259899542990610e-1","1,216503064863710e-1","1,106927925012300e-1","1,143679985886990e-1","1,140857795177630e-1","9,005120050940520e-2","9,726596684710440e-2","9,442414931139901e-2","1,016205219099600e-1","1,001843393384510e-1","1,050872436677290e-1","8,264169760518179e-2","7,962906187482981e-2","9,174055228087290e-2","6,180285595957980e-2","6,602080857611950e-2","5,842886165210970e-2","6,720275789291340e-2","6,629972698501360e-2","6,566779109993670e-2","5,760069409394670e-2","6,739341704707180e-2","7,621830689347669e-2","7,017431535063801e-2","5,863352184261470e-2","4,772736346285860e-2","7,161433676606930e-2","7,367375990725390e-2","8,009086177140360e-2","5,288948693238030e-2","6,977500124278020e-2","5,301320498624030e-2","2,998239482267590e-2","4,040339124795110e-2","3,322971495263460e-2","7,638585552088950e-2","4,795222629240910e-2","5,381679703225490e-2","4,246120095629470e-2","4,136321067220070e-2","4,492390589978040e-2","6,349134206150430e-2","6,441142114745470e-2","6,433596403016700e-2","3,640625000000000e+2","9,749092767244163e-2","3,640625000000000e+2","1,044858372118010e-1"
