"WL","Baseline","1506-1","1506-2","1506-3","2306-1","2306-2","2306-3","2906-1","2906-2","2906-3","0607-1","0607-2","0607-3","1307-1","1307-2","1307-3","2007-1","2007-2","2007-3","2707-1","2707-2","2707-3","0308-1","0308-2","0308-3"
"3,500000000000000e+2","-4,362711756160370e-2","1,297065473499650e-1","1,141855368768110e-1","1,107094059470510e-1","1,149843394235030e-1","1,205259781015480e-1","1,269207751100780e-1","1,394429600802190e-1","1,257758585040440e-1","1,218015289531370e-1","1,332944223824130e-1","1,072654009693260e-1","1,353468010994160e-1","1,140671390645060e-1","1,141187107004060e-1","1,187313788987000e-1","1,190421109471680e-1","1,289393892340760e-1","1,252789937569500e-1","1,694215396472090e-1","1,637794956526030e-1","1,615389332319870e-1","1,120702001084650e-1","1,140375863005010e-1","1,136522774935290e-1"
"3,510000000000000e+2","-4,315765638915730e-2","1,313248819787210e-1","1,158344096773740e-1","1,128687553646830e-1","1,166998784463600e-1","1,221987213928240e-1","1,281456607570420e-1","1,414286668181650e-1","1,278424026157720e-1","1,234195594007080e-1","1,348944643761090e-1","1,088229115637610e-1","1,366705845352660e-1","1,161614702683450e-1","1,158977715881650e-1","1,205105148912360e-1","1,208568516786190e-1","1,305870422375530e-1","1,270438301190590e-1","1,724659438903720e-1","1,663712793146420e-1","1,638251290445940e-1","1,140603900914980e-1","1,159910064515060e-1","1,156891102367550e-1"
"3,520000000000000e+2","-4,320159274681110e-2","1,334300393895130e-1","1,183901665430430e-1","1,158670829404970e-1","1,184830786305060e-1","1,215669159087780e-1","1,308150254865270e-1","1,440841382101430e-1","1,301338496635070e-1","1,257832255220250e-1","1,372174412880360e-1","1,107812279337080e-1","1,393360993237720e-1","1,187057057865760e-1","1,180868065417310e-1","1,232597310163390e-1","1,232862213217350e-1","1,331808936919710e-1","1,297145093454050e-1","1,757951108445780e-1","1,696044998845050e-1","1,674988817300650e-1","1,163622441429380e-1","1,187291912722770e-1","1,187857089792480e-1"
"3,530000000000000e+2","-4,296396602253580e-2","1,356098653036690e-1","1,202167644817650e-1","1,176395161218720e-1","1,208424905794680e-1","1,224413885888230e-1","1,325469335000840e-1","1,460843004760960e-1","1,321830361506540e-1","1,280438268096460e-1","1,392834483454670e-1","1,127551357374310e-1","1,406147951628870e-1","1,214987964622660e-1","1,207687161979760e-1","1,260304413289950e-1","1,247815021937870e-1","1,352248086511920e-1","1,318728058979750e-1","1,794974523431570e-1","1,725173219204830e-1","1,713560006252240e-1","1,187317245273010e-1","1,210691954030050e-1","1,212047630084410e-1"
"3,540000000000000e+2","-4,276980835308530e-2","1,378832106217410e-1","1,221251499212630e-1","1,194419355388810e-1","1,228216383893960e-1","1,232164546483640e-1","1,324895545930620e-1","1,486553713135100e-1","1,345476107159960e-1","1,312905548739840e-1","1,419258828327440e-1","1,141399754355200e-1","1,415070627404750e-1","1,237116935002240e-1","1,232324716438220e-1","1,291047542021870e-1","1,249134957858620e-1","1,375537063163550e-1","1,343757574570380e-1","1,827190618197640e-1","1,764103865871640e-1","1,744457848944190e-1","1,210750445182480e-1","1,234914664576050e-1","1,230630508754060e-1"
"3,550000000000000e+2","-4,269393136411140e-2","1,402625741797260e-1","1,241874906696570e-1","1,215768774015530e-1","1,251595798307920e-1","1,262742979525930e-1","1,340634981613530e-1","1,513450893605340e-1","1,336124903260540e-1","1,308543325601940e-1","1,444933657885790e-1","1,147011946921190e-1","1,429940559317430e-1","1,260252035349770e-1","1,257752439097280e-1","1,318135093115780e-1","1,284958704063770e-1","1,404386823772210e-1","1,361416984212980e-1","1,862388350323830e-1","1,797924001653550e-1","1,751269847128910e-1","1,222721619563120e-1","1,264414108846480e-1","1,246471764921960e-1"
"3,560000000000000e+2","-4,259882202617230e-2","1,420746256302780e-1","1,260080267734120e-1","1,237574771701710e-1","1,274129479392130e-1","1,269226188786050e-1","1,347659685446500e-1","1,537894652433590e-1","1,356494161110020e-1","1,309764963428490e-1","1,453651156225130e-1","1,160189281978330e-1","1,431242877404000e-1","1,286553787918290e-1","1,283137149455100e-1","1,338814614192370e-1","1,306019861077960e-1","1,413057647730760e-1","1,370172061729830e-1","1,896143497550880e-1","1,835405338498220e-1","1,800186241000210e-1","1,223949943772900e-1","1,284783752587620e-1","1,276562627817690e-1"
"3,570000000000000e+2","-4,222078399584020e-2","1,436286490647840e-1","1,281280225152600e-1","1,258069679387090e-1","1,294096576142700e-1","1,290113948507630e-1","1,379563071855410e-1","1,554405366944110e-1","1,387423271885990e-1","1,328652634227620e-1","1,456292864328170e-1","1,185414213048290e-1","1,468273066769770e-1","1,291966751001530e-1","1,302712151807450e-1","1,364007054030900e-1","1,327444987093990e-1","1,438292699960070e-1","1,393954640767860e-1","1,914824131386650e-1","1,833429862394590e-1","1,827022033845030e-1","1,255430739311480e-1","1,308915612318430e-1","1,282840352613630e-1"
"3,580000000000000e+2","-4,188329777366320e-2","1,458722309400360e-1","1,299670979215930e-1","1,274669392461960e-1","1,313151995667340e-1","1,345034246447180e-1","1,386635575960210e-1","1,579319309631140e-1","1,409571936460340e-1","1,359868601600910e-1","1,455407019983400e-1","1,203261709739760e-1","1,489191780099420e-1","1,301329837834720e-1","1,329152676430280e-1","1,389371064814960e-1","1,358883760893130e-1","1,459204854763450e-1","1,405224187982700e-1","1,945227747932540e-1","1,863725848728290e-1","1,861125669086260e-1","1,270147071268140e-1","1,331733706507740e-1","1,274459579971690e-1"
"3,590000000000000e+2","-4,178241125680710e-2","1,481637243869150e-1","1,319692232525160e-1","1,294963628125840e-1","1,338243356466200e-1","1,395973877364160e-1","1,414095806083910e-1","1,590893882770020e-1","1,429166101691110e-1","1,378483752314900e-1","1,493535329281090e-1","1,233835424342700e-1","1,532021432345200e-1","1,314549239901780e-1","1,353642097353010e-1","1,413884891061470e-1","1,399446860869960e-1","1,479693201609090e-1","1,441341066390790e-1","1,984093610035650e-1","1,909671534182780e-1","1,899020037349960e-1","1,309488355658580e-1","1,356319447172460e-1","1,314496388708150e-1"
"3,600000000000000e+2","-4,175998354588360e-2","1,502595982833150e-1","1,341581648640310e-1","1,318003277250530e-1","1,363007072172670e-1","1,420662049583420e-1","1,468017850318680e-1","1,608307800662300e-1","1,456949755456240e-1","1,421840735001060e-1","1,527703114510800e-1","1,265031711111580e-1","1,547001432122940e-1","1,352963799231220e-1","1,383070900336580e-1","1,445444872965810e-1","1,430814446930650e-1","1,503962619397480e-1","1,489417229726280e-1","2,018036775815350e-1","1,946853697429820e-1","1,964808745162490e-1","1,350957210531960e-1","1,385379663295990e-1","1,356930199332420e-1"
"3,610000000000000e+2","-4,142122773315010e-2","1,518703941743220e-1","1,360418095486630e-1","1,334661704813240e-1","1,383684048275090e-1","1,446165613509260e-1","1,515886137115230e-1","1,632316981080860e-1","1,474949752118990e-1","1,445105219371230e-1","1,567408767191090e-1","1,305564016153960e-1","1,593923081715290e-1","1,381060162109110e-1","1,395383089715130e-1","1,464700192712950e-1","1,452194337440380e-1","1,524694473383020e-1","1,516741417890350e-1","2,066027897499100e-1","1,967803509080720e-1","2,006279105587490e-1","1,386412872203120e-1","1,408140719838410e-1","1,360108015459760e-1"
"3,620000000000000e+2","-4,136245242579070e-2","1,536833565379470e-1","1,383972491944930e-1","1,354688524961320e-1","1,409329590947900e-1","1,467644210396240e-1","1,540487736248170e-1","1,632158720855530e-1","1,497507261326570e-1","1,470742342394060e-1","1,576667165819980e-1","1,332467090083180e-1","1,645526472943360e-1","1,440031421264340e-1","1,408619101669310e-1","1,470073747513290e-1","1,482716658468850e-1","1,556677618865390e-1","1,543649078088860e-1","2,137608873740550e-1","2,029663600119310e-1","2,054379252981510e-1","1,410183538101540e-1","1,439180456046090e-1","1,416641965864640e-1"
"3,630000000000000e+2","-4,106862448372380e-2","1,560827643290930e-1","1,403881745915040e-1","1,374102172253970e-1","1,433528551855520e-1","1,491135599557050e-1","1,566168747639270e-1","1,680976923970800e-1","1,530423404281320e-1","1,504379413483110e-1","1,629020310560140e-1","1,355790277934560e-1","1,676182999950650e-1","1,470115793198780e-1","1,428368420629630e-1","1,501995996983550e-1","1,513057164069790e-1","1,596428218119910e-1","1,568775525791860e-1","2,173766494979080e-1","2,093944062561060e-1","2,096177515252100e-1","1,436808475168510e-1","1,467107727586480e-1","1,447636771602870e-1"
"3,640000000000000e+2","-4,109345186335340e-2","1,582867841152980e-1","1,426514122058450e-1","1,399112000680550e-1","1,461638285111860e-1","1,522897175167260e-1","1,589998727318610e-1","1,708779626831940e-1","1,552661527632000e-1","1,551278364039620e-1","1,675816430915750e-1","1,378829690528370e-1","1,708386371714200e-1","1,488827942618500e-1","1,470969939200210e-1","1,539314635149480e-1","1,544206015038760e-1","1,637260823966950e-1","1,600983623474010e-1","2,220539311637780e-1","2,141176242704600e-1","2,136009808450060e-1","1,466793961113190e-1","1,497300406487120e-1","1,481142888188430e-1"
