"Wavelength","Baseline","2505-1","2505-2","2505-3","0106-1","0106-2","0106-3"
"3,500000000000000e+2","-7,043000000000001e-2","3,810600000000000e-2","6,825000000000001e-2","3,936300000000000e-2","4,640500000000000e-2","3,947600000000000e-2","3,739900000000000e-2"
"3,510000000000000e+2","-6,974000000000000e-2","3,826700000000000e-2","6,889500000000000e-2","3,956900000000000e-2","4,673600000000000e-2","4,000000000000000e-2","3,787900000000000e-2"
"3,520000000000000e+2","-6,915000000000000e-2","3,909400000000000e-2","6,933699999999999e-2","3,996500000000000e-2","4,769200000000000e-2","4,063800000000000e-2","3,824700000000000e-2"
"3,530000000000000e+2","-6,873999999999999e-2","3,956400000000000e-2","6,979499999999999e-2","4,083800000000000e-2","4,776200000000000e-2","4,156300000000000e-2","3,912700000000000e-2"
"3,540000000000000e+2","-6,829000000000000e-2","4,066100000000000e-2","7,081899999999999e-2","4,158600000000000e-2","4,884300000000000e-2","4,238000000000000e-2","3,974800000000000e-2"
"3,550000000000000e+2","-6,779000000000000e-2","4,158600000000000e-2","7,153500000000000e-2","4,225800000000000e-2","4,960300000000000e-2","4,326800000000000e-2","4,035400000000000e-2"
"3,560000000000000e+2","-6,737000000000000e-2","4,208000000000000e-2","7,278000000000000e-2","4,292800000000000e-2","5,037700000000000e-2","4,385600000000000e-2","4,118800000000000e-2"
"3,570000000000000e+2","-6,669000000000000e-2","4,256700000000000e-2","7,271700000000000e-2","4,333700000000000e-2","5,062500000000000e-2","4,424700000000000e-2","4,189900000000000e-2"
"3,580000000000000e+2","-6,607000000000000e-2","4,303600000000000e-2","7,344800000000000e-2","4,428100000000000e-2","5,150700000000000e-2","4,527200000000000e-2","4,231700000000000e-2"
"3,590000000000000e+2","-6,586000000000000e-2","4,410900000000000e-2","7,417300000000000e-2","4,507900000000000e-2","5,277800000000000e-2","4,617500000000000e-2","4,325700000000000e-2"
"3,600000000000000e+2","-6,558000000000000e-2","4,487500000000000e-2","7,508400000000000e-2","4,572300000000000e-2","5,354000000000000e-2","4,699800000000000e-2","4,394800000000000e-2"
"3,610000000000000e+2","-6,507000000000000e-2","4,527100000000000e-2","7,566300000000000e-2","4,618900000000000e-2","5,424800000000000e-2","4,759500000000000e-2","4,433600000000000e-2"
"3,620000000000000e+2","-6,487000000000000e-2","4,624600000000000e-2","7,674000000000000e-2","4,729100000000000e-2","5,498300000000000e-2","4,873700000000000e-2","4,544600000000000e-2"
"3,630000000000000e+2","-6,431000000000001e-2","4,688700000000000e-2","7,748500000000000e-2","4,785400000000000e-2","5,572200000000000e-2","4,900500000000000e-2","4,620400000000000e-2"
"3,640000000000000e+2","-6,395000000000001e-2","4,764300000000000e-2","7,835300000000000e-2","4,861900000000000e-2","5,643200000000000e-2","5,021400000000000e-2","4,676300000000000e-2"
"3,650000000000000e+2","-6,374000000000001e-2","4,812500000000000e-2","7,912700000000000e-2","4,929600000000000e-2","5,744500000000000e-2","5,131800000000000e-2","4,772300000000000e-2"
"3,660000000000000e+2","-6,328000000000000e-2","4,905800000000000e-2","7,970900000000000e-2","5,002800000000000e-2","5,831300000000000e-2","5,231100000000000e-2","4,862400000000000e-2"
"3,670000000000000e+2","-6,283999999999999e-2","4,960100000000000e-2","8,025900000000000e-2","5,038400000000000e-2","5,898900000000000e-2","5,320900000000000e-2","4,943900000000000e-2"
"3,680000000000000e+2","-6,230000000000000e-2","4,997300000000000e-2","8,091200000000000e-2","5,074800000000000e-2","5,964900000000000e-2","5,363800000000000e-2","5,015600000000000e-2"
"3,690000000000000e+2","-6,217000000000000e-2","5,075300000000000e-2","8,218500000000000e-2","5,163300000000000e-2","6,072400000000000e-2","5,487700000000000e-2","5,053500000000000e-2"
"3,700000000000000e+2","-6,160000000000000e-2","5,153900000000000e-2","8,249300000000000e-2","5,205500000000000e-2","6,137400000000000e-2","5,532200000000000e-2","5,137100000000000e-2"
"3,710000000000000e+2","-6,108000000000000e-2","5,196200000000000e-2","8,362600000000000e-2","5,241300000000000e-2","6,204000000000000e-2","5,626700000000000e-2","5,183900000000000e-2"
"3,720000000000000e+2","-6,062000000000000e-2","5,257900000000000e-2","8,379600000000000e-2","5,297100000000000e-2","6,252600000000000e-2","5,669800000000000e-2","5,260800000000000e-2"
"3,730000000000000e+2","-6,009000000000000e-2","5,269100000000000e-2","8,454300000000000e-2","5,325400000000000e-2","6,320500000000000e-2","5,777200000000000e-2","5,313400000000000e-2"
"3,740000000000000e+2","-5,911000000000000e-2","5,374100000000000e-2","8,496300000000000e-2","5,407700000000000e-2","6,405600000000000e-2","5,773200000000000e-2","5,330100000000000e-2"
"3,750000000000000e+2","-5,868000000000000e-2","5,404400000000000e-2","8,553900000000000e-2","5,462700000000000e-2","6,438000000000001e-2","5,922600000000000e-2","5,486700000000000e-2"
"3,760000000000000e+2","-5,836000000000000e-2","5,492900000000000e-2","8,618200000000000e-2","5,523200000000000e-2","6,533500000000001e-2","6,020300000000000e-2","5,550500000000000e-2"
"3,770000000000000e+2","-5,821000000000000e-2","5,586800000000000e-2","8,736700000000000e-2","5,572700000000000e-2","6,651799999999999e-2","6,104600000000000e-2","5,656600000000000e-2"
"3,780000000000000e+2","-5,726000000000000e-2","5,592300000000000e-2","8,783000000000000e-2","5,599300000000000e-2","6,683400000000001e-2","6,187200000000000e-2","5,649600000000000e-2"
"3,790000000000000e+2","-5,736000000000000e-2","5,665800000000000e-2","8,878500000000000e-2","5,681300000000000e-2","6,804700000000000e-2","6,270299999999999e-2","5,797400000000000e-2"
"3,800000000000000e+2","-5,682000000000000e-2","5,714200000000000e-2","8,908500000000000e-2","5,720600000000000e-2","6,821800000000000e-2","6,319300000000000e-2","5,865500000000000e-2"
"3,810000000000000e+2","-5,643000000000000e-2","5,780000000000000e-2","8,956200000000000e-2","5,801200000000000e-2","6,935900000000000e-2","6,362300000000000e-2","5,924500000000000e-2"
"3,820000000000000e+2","-5,591000000000000e-2","5,854800000000000e-2","9,031400000000000e-2","5,836100000000000e-2","7,000600000000000e-2","6,472000000000000e-2","5,966200000000000e-2"
"3,830000000000000e+2","-5,542000000000000e-2","5,897100000000000e-2","9,076800000000000e-2","5,851700000000000e-2","7,060500000000000e-2","6,517100000000001e-2","6,053400000000000e-2"
"3,840000000000000e+2","-5,478000000000000e-2","5,936700000000000e-2","9,126100000000000e-2","5,915800000000000e-2","7,108299999999999e-2","6,578700000000000e-2","6,097600000000000e-2"
"3,850000000000000e+2","-5,334000000000000e-2","5,992900000000000e-2","9,176200000000000e-2","5,953900000000000e-2","7,158600000000000e-2","6,605100000000000e-2","6,079300000000000e-2"
"3,860000000000000e+2","-5,334000000000000e-2","6,068700000000000e-2","9,316300000000000e-2","6,045400000000000e-2","7,286600000000000e-2","6,765699999999999e-2","6,242600000000000e-2"
"3,870000000000000e+2","-5,297000000000000e-2","6,155700000000000e-2","9,358900000000000e-2","6,106900000000000e-2","7,366800000000000e-2","6,845300000000000e-2","6,310900000000000e-2"
"3,880000000000000e+2","-5,250000000000000e-2","6,208800000000000e-2","9,415300000000000e-2","6,178700000000000e-2","7,452400000000000e-2","6,954000000000001e-2","6,410200000000001e-2"
"3,890000000000000e+2","-5,173000000000000e-2","6,234000000000000e-2","9,459400000000000e-2","6,179900000000000e-2","7,486600000000000e-2","7,007900000000000e-2","6,460499999999999e-2"
"3,900000000000000e+2","-5,129000000000000e-2","6,341200000000000e-2","9,531400000000000e-2","6,253499999999999e-2","7,575200000000000e-2","7,089200000000000e-2","6,535900000000000e-2"
"3,910000000000000e+2","-5,067000000000000e-2","6,412000000000000e-2","9,603800000000000e-2","6,336999999999999e-2","7,684900000000000e-2","7,195400000000001e-2","6,629100000000000e-2"
"3,920000000000000e+2","-5,031000000000000e-2","6,503100000000001e-2","9,737100000000000e-2","6,417399999999999e-2","7,778600000000000e-2","7,304000000000000e-2","6,701200000000000e-2"
"3,930000000000000e+2","-4,997000000000000e-2","6,606400000000000e-2","9,825300000000000e-2","6,516800000000000e-2","7,929800000000000e-2","7,423900000000000e-2","6,829800000000000e-2"
"3,940000000000000e+2","-4,963000000000000e-2","6,716400000000000e-2","9,975500000000000e-2","6,612500000000000e-2","8,047000000000000e-2","7,549100000000000e-2","6,930899999999999e-2"
"3,950000000000000e+2","-4,907000000000000e-2","6,818100000000001e-2","1,009300000000000e-1","6,685600000000000e-2","8,153800000000000e-2","7,703700000000000e-2","7,049400000000000e-2"
"3,960000000000000e+2","-4,886000000000000e-2","6,979900000000000e-2","1,026760000000000e-1","6,833300000000001e-2","8,333100000000000e-2","7,880100000000000e-2","7,245900000000000e-2"
"3,970000000000000e+2","-4,811000000000000e-2","7,159200000000000e-2","1,046320000000000e-1","7,013100000000000e-2","8,552400000000000e-2","8,021700000000000e-2","7,383700000000000e-2"
"3,980000000000000e+2","-4,762000000000000e-2","7,326800000000000e-2","1,065980000000000e-1","7,138899999999999e-2","8,714600000000000e-2","8,254500000000000e-2","7,627100000000000e-2"
"3,990000000000000e+2","-4,705000000000000e-2","7,509200000000000e-2","1,085740000000000e-1","7,314800000000000e-2","8,911000000000000e-2","8,458500000000000e-2","7,828600000000000e-2"
"4,000000000000000e+2","-4,647000000000000e-2","7,677500000000000e-2","1,102460000000000e-1","7,527000000000000e-2","9,113100000000000e-2","8,653300000000000e-2","7,988700000000000e-2"
"4,010000000000000e+2","-4,634000000000000e-2","7,921600000000000e-2","1,134030000000000e-1","7,737300000000000e-2","9,376100000000000e-2","8,963200000000000e-2","8,257700000000000e-2"
"4,020000000000000e+2","-4,569000000000000e-2","8,091400000000000e-2","1,159030000000000e-1","7,906100000000000e-2","9,608800000000000e-2","9,176500000000000e-2","8,507000000000000e-2"
"4,030000000000000e+2","-4,533000000000000e-2","8,324100000000000e-2","1,183410000000000e-1","8,097500000000000e-2","9,866300000000000e-2","9,440900000000000e-2","8,706400000000000e-2"
"4,040000000000000e+2","-4,482000000000000e-2","8,512800000000000e-2","1,203880000000000e-1","8,304300000000000e-2","1,005390000000000e-1","9,627300000000000e-2","8,929100000000000e-2"
"4,050000000000000e+2","-4,469000000000000e-2","8,720400000000000e-2","1,228790000000000e-1","8,485400000000000e-2","1,028780000000000e-1","9,856500000000000e-2","9,140000000000000e-2"
"4,060000000000000e+2","-4,446000000000000e-2","8,896600000000000e-2","1,250160000000000e-1","8,644000000000000e-2","1,052150000000000e-1","1,007940000000000e-1","9,347700000000000e-2"
"4,070000000000000e+2","-4,410000000000000e-2","9,039400000000000e-2","1,268570000000000e-1","8,813600000000000e-2","1,066990000000000e-1","1,025410000000000e-1","9,514200000000000e-2"
"4,080000000000000e+2","-4,372000000000000e-2","9,205000000000000e-2","1,285740000000000e-1","8,929900000000000e-2","1,082980000000000e-1","1,041890000000000e-1","9,696800000000000e-2"
"4,090000000000000e+2","-4,280000000000000e-2","9,342300000000000e-2","1,299360000000000e-1","9,068300000000000e-2","1,100540000000000e-1","1,053460000000000e-1","9,776400000000000e-2"
"4,100000000000000e+2","-4,265000000000000e-2","9,463000000000000e-2","1,312140000000000e-1","9,199400000000000e-2","1,118190000000000e-1","1,075780000000000e-1","9,990600000000000e-2"
"4,110000000000000e+2","-4,262000000000000e-2","9,577000000000000e-2","1,329950000000000e-1","9,303300000000000e-2","1,132120000000000e-1","1,091020000000000e-1","1,014120000000000e-1"
"4,120000000000000e+2","-4,195000000000000e-2","9,653900000000000e-2","1,334840000000000e-1","9,355100000000000e-2","1,140320000000000e-1","1,098390000000000e-1","1,025480000000000e-1"
"4,130000000000000e+2","-4,209000000000000e-2","9,754100000000000e-2","1,350390000000000e-1","9,461700000000000e-2","1,155330000000000e-1","1,115420000000000e-1","1,038850000000000e-1"
"4,140000000000000e+2","-4,187000000000000e-2","9,830600000000000e-2","1,357240000000000e-1","9,523400000000000e-2","1,164790000000000e-1","1,126710000000000e-1","1,049340000000000e-1"
"4,150000000000000e+2","-4,157000000000000e-2","9,875400000000000e-2","1,363000000000000e-1","9,574500000000000e-2","1,177150000000000e-1","1,137930000000000e-1","1,059900000000000e-1"
"4,160000000000000e+2","-4,121000000000000e-2","9,913800000000000e-2","1,365510000000000e-1","9,636700000000000e-2","1,185990000000000e-1","1,144460000000000e-1","1,069300000000000e-1"
"4,170000000000000e+2","-4,132000000000000e-2","1,002970000000000e-1","1,380370000000000e-1","9,756100000000000e-2","1,197120000000000e-1","1,161440000000000e-1","1,085220000000000e-1"
"4,180000000000000e+2","-4,095000000000000e-2","1,010150000000000e-1","1,391140000000000e-1","9,784200000000000e-2","1,211430000000000e-1","1,172170000000000e-1","1,091600000000000e-1"
"4,190000000000000e+2","-4,091000000000000e-2","1,023430000000000e-1","1,405690000000000e-1","9,897600000000000e-2","1,227260000000000e-1","1,187230000000000e-1","1,108110000000000e-1"
"4,200000000000000e+2","-4,069000000000000e-2","1,033010000000000e-1","1,420620000000000e-1","1,001140000000000e-1","1,245180000000000e-1","1,203100000000000e-1","1,124090000000000e-1"
"4,210000000000000e+2","-3,983000000000000e-2","1,048770000000000e-1","1,435910000000000e-1","1,016030000000000e-1","1,268110000000000e-1","1,220210000000000e-1","1,139690000000000e-1"
"4,220000000000000e+2","-3,988000000000000e-2","1,070210000000000e-1","1,462930000000000e-1","1,037930000000000e-1","1,293700000000000e-1","1,249320000000000e-1","1,168970000000000e-1"
"4,230000000000000e+2","-3,954000000000000e-2","1,088230000000000e-1","1,487260000000000e-1","1,055780000000000e-1","1,319550000000000e-1","1,275860000000000e-1","1,191600000000000e-1"
"4,240000000000000e+2","-3,937000000000000e-2","1,112990000000000e-1","1,517650000000000e-1","1,081320000000000e-1","1,348520000000000e-1","1,306280000000000e-1","1,222390000000000e-1"
"4,250000000000000e+2","-3,937000000000000e-2","1,139680000000000e-1","1,549810000000000e-1","1,107580000000000e-1","1,383130000000000e-1","1,337920000000000e-1","1,257390000000000e-1"
"4,260000000000000e+2","-3,892000000000000e-2","1,166510000000000e-1","1,581760000000000e-1","1,130280000000000e-1","1,412880000000000e-1","1,366360000000000e-1","1,282140000000000e-1"
"4,270000000000000e+2","-3,889000000000000e-2","1,190080000000000e-1","1,614730000000000e-1","1,157240000000000e-1","1,443880000000000e-1","1,397870000000000e-1","1,313650000000000e-1"
"4,280000000000000e+2","-3,852000000000000e-2","1,212510000000000e-1","1,637620000000000e-1","1,177960000000000e-1","1,470660000000000e-1","1,422870000000000e-1","1,339530000000000e-1"
"4,290000000000000e+2","-3,842000000000000e-2","1,230280000000000e-1","1,663620000000000e-1","1,196760000000000e-1","1,492770000000000e-1","1,444810000000000e-1","1,358550000000000e-1"
"4,300000000000000e+2","-3,838000000000000e-2","1,246470000000000e-1","1,680210000000000e-1","1,207940000000000e-1","1,510260000000000e-1","1,462140000000000e-1","1,376160000000000e-1"
"4,310000000000000e+2","-3,811000000000000e-2","1,249030000000000e-1","1,689310000000000e-1","1,215780000000000e-1","1,518020000000000e-1","1,470650000000000e-1","1,383320000000000e-1"
"4,320000000000000e+2","-3,788000000000000e-2","1,249320000000000e-1","1,687100000000000e-1","1,212650000000000e-1","1,519720000000000e-1","1,472670000000000e-1","1,385960000000000e-1"
"4,330000000000000e+2","-3,774000000000000e-2","1,240620000000000e-1","1,678110000000000e-1","1,208640000000000e-1","1,517960000000000e-1","1,467480000000000e-1","1,381530000000000e-1"
"4,340000000000000e+2","-3,749000000000000e-2","1,226630000000000e-1","1,659180000000000e-1","1,190420000000000e-1","1,502760000000000e-1","1,455340000000000e-1","1,368710000000000e-1"
"4,350000000000000e+2","-3,732000000000000e-2","1,204490000000000e-1","1,632770000000000e-1","1,169720000000000e-1","1,485450000000000e-1","1,436890000000000e-1","1,349310000000000e-1"
"4,360000000000000e+2","-3,726000000000000e-2","1,182570000000000e-1","1,600390000000000e-1","1,148800000000000e-1","1,463980000000000e-1","1,409220000000000e-1","1,325340000000000e-1"
"4,370000000000000e+2","-3,630000000000000e-2","1,140120000000000e-1","1,552930000000000e-1","1,105970000000000e-1","1,425540000000000e-1","1,370570000000000e-1","1,288500000000000e-1"
"4,380000000000000e+2","-3,611000000000000e-2","1,101200000000000e-1","1,503720000000000e-1","1,069680000000000e-1","1,389220000000000e-1","1,343110000000000e-1","1,257870000000000e-1"
"4,390000000000000e+2","-3,604000000000000e-2","1,067170000000000e-1","1,459840000000000e-1","1,034470000000000e-1","1,354670000000000e-1","1,308740000000000e-1","1,226350000000000e-1"
"4,400000000000000e+2","-3,548000000000000e-2","1,026810000000000e-1","1,412420000000000e-1","9,951800000000000e-2","1,319140000000000e-1","1,277990000000000e-1","1,190520000000000e-1"
"4,410000000000000e+2","-3,540000000000000e-2","9,950400000000000e-2","1,373080000000000e-1","9,665300000000000e-2","1,295080000000000e-1","1,250970000000000e-1","1,168220000000000e-1"
"4,420000000000000e+2","-3,491000000000000e-2","9,687200000000000e-2","1,341780000000000e-1","9,387500000000000e-2","1,270470000000000e-1","1,227190000000000e-1","1,144970000000000e-1"
"4,430000000000000e+2","-3,498000000000000e-2","9,513300000000000e-2","1,317380000000000e-1","9,215700000000000e-2","1,257780000000000e-1","1,216020000000000e-1","1,132510000000000e-1"
"4,440000000000000e+2","-3,465000000000000e-2","9,337700000000000e-2","1,295950000000000e-1","9,084100000000000e-2","1,245350000000000e-1","1,204490000000000e-1","1,118260000000000e-1"
"4,450000000000000e+2","-3,437000000000000e-2","9,239400000000000e-2","1,282860000000000e-1","8,979200000000000e-2","1,240450000000000e-1","1,196640000000000e-1","1,113970000000000e-1"
"4,460000000000000e+2","-3,422000000000000e-2","9,167400000000000e-2","1,272300000000000e-1","8,913100000000000e-2","1,236310000000000e-1","1,194350000000000e-1","1,109250000000000e-1"
"4,470000000000000e+2","-3,403000000000000e-2","9,139600000000000e-2","1,266730000000000e-1","8,891900000000000e-2","1,237040000000000e-1","1,195660000000000e-1","1,110480000000000e-1"
"4,480000000000000e+2","-3,371000000000000e-2","9,084900000000000e-2","1,265650000000000e-1","8,843000000000000e-2","1,236860000000000e-1","1,195630000000000e-1","1,111170000000000e-1"
"4,490000000000000e+2","-3,353000000000000e-2","9,085400000000000e-2","1,263700000000000e-1","8,873200000000000e-2","1,240450000000000e-1","1,198220000000000e-1","1,111750000000000e-1"
"4,500000000000000e+2","-3,323000000000000e-2","9,121700000000000e-2","1,264710000000000e-1","8,859600000000000e-2","1,241360000000000e-1","1,199230000000000e-1","1,112340000000000e-1"
"4,510000000000000e+2","-3,321000000000000e-2","9,168400000000000e-2","1,269280000000000e-1","8,898500000000000e-2","1,245440000000000e-1","1,203910000000000e-1","1,115280000000000e-1"
"4,520000000000000e+2","-3,276000000000000e-2","9,156700000000000e-2","1,269720000000000e-1","8,888200000000000e-2","1,241170000000000e-1","1,201820000000000e-1","1,113760000000000e-1"
"4,530000000000000e+2","-3,264000000000000e-2","9,163400000000000e-2","1,271290000000000e-1","8,908100000000000e-2","1,238370000000000e-1","1,201830000000000e-1","1,112640000000000e-1"
"4,540000000000000e+2","-3,253000000000000e-2","9,162100000000000e-2","1,268570000000000e-1","8,922000000000000e-2","1,236680000000000e-1","1,196160000000000e-1","1,110460000000000e-1"
"4,550000000000000e+2","-3,204000000000000e-2","9,121200000000000e-2","1,265140000000000e-1","8,880100000000000e-2","1,228650000000000e-1","1,187820000000000e-1","1,099910000000000e-1"
"4,560000000000000e+2","-3,186000000000000e-2","9,085800000000000e-2","1,263890000000000e-1","8,872500000000000e-2","1,221160000000000e-1","1,181950000000000e-1","1,093930000000000e-1"
"4,570000000000000e+2","-3,160000000000000e-2","9,019500000000000e-2","1,257820000000000e-1","8,796500000000000e-2","1,212220000000000e-1","1,171060000000000e-1","1,082110000000000e-1"
"4,580000000000000e+2","-3,117000000000000e-2","8,998000000000000e-2","1,251610000000000e-1","8,793200000000000e-2","1,199690000000000e-1","1,160240000000000e-1","1,071590000000000e-1"
"4,590000000000000e+2","-3,093000000000000e-2","8,922200000000000e-2","1,244740000000000e-1","8,692900000000000e-2","1,185040000000000e-1","1,146170000000000e-1","1,057820000000000e-1"
"4,600000000000000e+2","-3,072000000000000e-2","8,822000000000000e-2","1,231610000000000e-1","8,596000000000000e-2","1,170730000000000e-1","1,129520000000000e-1","1,039020000000000e-1"
"4,610000000000000e+2","-3,076000000000000e-2","8,724800000000000e-2","1,222850000000000e-1","8,497500000000000e-2","1,155180000000000e-1","1,112640000000000e-1","1,024880000000000e-1"
"4,620000000000000e+2","-3,077000000000000e-2","8,635400000000000e-2","1,212410000000000e-1","8,436600000000000e-2","1,140070000000000e-1","1,098450000000000e-1","1,009660000000000e-1"
"4,630000000000000e+2","-3,036000000000000e-2","8,501300000000000e-2","1,195140000000000e-1","8,288400000000000e-2","1,116170000000000e-1","1,076430000000000e-1","9,904800000000000e-2"
"4,640000000000000e+2","-3,031000000000000e-2","8,389400000000000e-2","1,182910000000000e-1","8,185700000000000e-2","1,099270000000000e-1","1,060840000000000e-1","9,733700000000000e-2"
"4,650000000000000e+2","-3,033000000000000e-2","8,280200000000000e-2","1,170720000000000e-1","8,088700000000000e-2","1,085820000000000e-1","1,045590000000000e-1","9,609600000000000e-2"
"4,660000000000000e+2","-3,005000000000000e-2","8,181100000000000e-2","1,155720000000000e-1","7,975100000000000e-2","1,069940000000000e-1","1,030240000000000e-1","9,427600000000000e-2"
"4,670000000000000e+2","-3,019000000000000e-2","8,107100000000000e-2","1,144580000000000e-1","7,951600000000000e-2","1,058050000000000e-1","1,021110000000000e-1","9,340100000000000e-2"
"4,680000000000000e+2","-2,967000000000000e-2","7,996100000000000e-2","1,132130000000000e-1","7,804000000000000e-2","1,044430000000000e-1","1,006250000000000e-1","9,194700000000000e-2"
"4,690000000000000e+2","-3,003000000000000e-2","7,962900000000000e-2","1,124510000000000e-1","7,805400000000000e-2","1,039770000000000e-1","1,003350000000000e-1","9,152500000000000e-2"
"4,700000000000000e+2","-2,960000000000000e-2","7,901200000000000e-2","1,118160000000000e-1","7,733200000000000e-2","1,029970000000000e-1","9,934000000000000e-2","9,062600000000000e-2"
"4,710000000000000e+2","-2,975000000000000e-2","7,876300000000000e-2","1,114710000000000e-1","7,718300000000000e-2","1,026380000000000e-1","9,921800000000000e-2","9,037600000000000e-2"
"4,720000000000000e+2","-2,958000000000000e-2","7,840800000000000e-2","1,110920000000000e-1","7,693800000000000e-2","1,022840000000000e-1","9,849700000000000e-2","8,997100000000000e-2"
"4,730000000000000e+2","-2,937000000000000e-2","7,813800000000000e-2","1,107420000000000e-1","7,689900000000000e-2","1,020960000000000e-1","9,832700000000000e-2","8,951900000000000e-2"
"4,740000000000000e+2","-2,945000000000000e-2","7,837000000000000e-2","1,106020000000000e-1","7,698700000000000e-2","1,018000000000000e-1","9,832000000000000e-2","8,967400000000000e-2"
"4,750000000000000e+2","-2,921000000000000e-2","7,829400000000000e-2","1,108740000000000e-1","7,687900000000000e-2","1,019630000000000e-1","9,822300000000000e-2","8,923100000000000e-2"
"4,760000000000000e+2","-2,919000000000000e-2","7,850700000000000e-2","1,108830000000000e-1","7,687500000000000e-2","1,019520000000000e-1","9,839900000000000e-2","8,935800000000000e-2"
"4,770000000000000e+2","-2,929000000000000e-2","7,866000000000000e-2","1,112010000000000e-1","7,734200000000000e-2","1,019980000000000e-1","9,873400000000000e-2","8,983800000000000e-2"
"4,780000000000000e+2","-2,906000000000000e-2","7,886300000000000e-2","1,115120000000000e-1","7,729400000000000e-2","1,019240000000000e-1","9,833500000000000e-2","8,983700000000000e-2"
"4,790000000000000e+2","-2,916000000000000e-2","7,918800000000000e-2","1,118960000000000e-1","7,769600000000000e-2","1,020850000000000e-1","9,856900000000000e-2","8,950100000000000e-2"
"4,800000000000000e+2","-2,926000000000000e-2","7,935400000000000e-2","1,119460000000000e-1","7,767500000000000e-2","1,021320000000000e-1","9,849300000000000e-2","8,960200000000000e-2"
"4,810000000000000e+2","-2,878000000000000e-2","7,886000000000000e-2","1,113330000000000e-1","7,731500000000000e-2","1,013130000000000e-1","9,765900000000000e-2","8,899300000000000e-2"
"4,820000000000000e+2","-2,920000000000000e-2","7,914800000000000e-2","1,116160000000000e-1","7,747900000000000e-2","1,013480000000000e-1","9,776500000000000e-2","8,899300000000000e-2"
"4,830000000000000e+2","-2,923000000000000e-2","7,886200000000000e-2","1,114350000000000e-1","7,742000000000000e-2","1,008830000000000e-1","9,700100000000000e-2","8,836800000000000e-2"
"4,840000000000000e+2","-2,919000000000000e-2","7,901200000000000e-2","1,114830000000000e-1","7,721600000000000e-2","1,003890000000000e-1","9,640600000000000e-2","8,774600000000000e-2"
"4,850000000000000e+2","-2,868000000000000e-2","7,804800000000000e-2","1,101140000000000e-1","7,615600000000000e-2","9,876800000000000e-2","9,466400000000000e-2","8,668800000000000e-2"
"4,860000000000000e+2","-2,890000000000000e-2","7,725400000000000e-2","1,095120000000000e-1","7,567900000000000e-2","9,769600000000000e-2","9,423400000000000e-2","8,568400000000000e-2"
"4,870000000000000e+2","-2,894000000000000e-2","7,655900000000000e-2","1,082580000000000e-1","7,465700000000000e-2","9,636300000000000e-2","9,272400000000000e-2","8,402200000000000e-2"
"4,880000000000000e+2","-2,914000000000000e-2","7,582000000000000e-2","1,072410000000000e-1","7,370100000000000e-2","9,486600000000000e-2","9,115100000000000e-2","8,282300000000000e-2"
"4,890000000000000e+2","-2,923000000000000e-2","7,411200000000000e-2","1,056780000000000e-1","7,232300000000000e-2","9,282800000000000e-2","8,920000000000000e-2","8,100900000000000e-2"
"4,900000000000000e+2","-2,896000000000000e-2","7,253500000000000e-2","1,036510000000000e-1","7,078100000000000e-2","9,060600000000000e-2","8,681400000000000e-2","7,885300000000000e-2"
"4,910000000000000e+2","-2,933000000000000e-2","7,127600000000001e-2","1,020710000000000e-1","6,944000000000000e-2","8,870200000000000e-2","8,517300000000000e-2","7,690300000000000e-2"
"4,920000000000000e+2","-2,922000000000000e-2","6,958599999999999e-2","9,983100000000000e-2","6,778700000000000e-2","8,639700000000000e-2","8,282800000000000e-2","7,455500000000000e-2"
"4,930000000000000e+2","-2,898000000000000e-2","6,777500000000000e-2","9,775500000000000e-2","6,588600000000000e-2","8,380700000000000e-2","8,042400000000000e-2","7,234400000000000e-2"
"4,940000000000000e+2","-2,885000000000000e-2","6,578900000000000e-2","9,527600000000000e-2","6,413500000000000e-2","8,125000000000000e-2","7,811900000000000e-2","6,992300000000000e-2"
